Date,Adj Close,Close,High,Low,Open,Volume,ticker
2023-03-07,81.73260498046875,84.05999755859375,85.66999816894531,83.88999938964844,85.0999984741211,1297100,SWK
2023-03-08,81.72289276123047,84.05000305175781,84.30999755859375,82.68000030517578,83.8499984741211,1675300,SWK
2023-03-09,80.2157974243164,82.5,85.05000305175781,82.36000061035156,84.06999969482422,1795000,SWK
2023-03-10,78.48509216308594,80.72000122070312,83.23999786376953,79.47000122070312,82.4800033569336,2227300,SWK
2023-03-13,78.04753875732422,80.2699966430664,81.93000030517578,79.02999877929688,79.94999694824219,2050800,SWK
2023-03-14,78.15449523925781,80.37999725341797,82.44000244140625,79.33000183105469,82.23999786376953,1650900,SWK
2023-03-15,77.59056091308594,79.80000305175781,80.33000183105469,77.97000122070312,78.44000244140625,2300200,SWK
2023-03-16,77.9989242553711,80.22000122070312,80.76000213623047,78.4000015258789,78.63999938964844,2155200,SWK
2023-03-17,75.53897857666016,77.69000244140625,80.41999816894531,77.66999816894531,80.41000366210938,3643700,SWK
2023-03-20,76.4626693725586,78.63999938964844,78.76000213623047,77.58999633789062,77.69000244140625,2200200,SWK
2023-03-21,77.46415710449219,79.66999816894531,81.7699966430664,79.1500015258789,79.6500015258789,1919000,SWK
2023-03-22,74.43053436279297,76.55000305175781,79.79000091552734,76.4800033569336,79.38999938964844,2140100,SWK
2023-03-23,73.38043975830078,75.47000122070312,77.69999694824219,74.79000091552734,76.9000015258789,1766400,SWK
2023-03-24,72.19422149658203,74.25,75.18000030517578,73.12000274658203,74.33000183105469,2240800,SWK
2023-03-27,74.30414581298828,76.41999816894531,76.91999816894531,74.98999786376953,75.51000213623047,1916400,SWK
2023-03-28,74.63471984863281,76.76000213623047,77.51000213623047,76.26000213623047,76.52999877929688,1044000,SWK
2023-03-29,75.75289154052734,77.91000366210938,78.4000015258789,77.54000091552734,77.91999816894531,1316800,SWK
2023-03-30,75.60704040527344,77.76000213623047,79.33999633789062,77.41000366210938,79.05000305175781,1178900,SWK
2023-03-31,78.34895324707031,80.58000183105469,80.7300033569336,78.19000244140625,78.44999694824219,1427700,SWK
2023-04-03,77.24051666259766,79.44000244140625,80.61000061035156,78.6500015258789,80.29000091552734,1470300,SWK
2023-04-04,74.9944839477539,77.12999725341797,79.93000030517578,76.37999725341797,79.91999816894531,1297600,SWK
2023-04-05,72.40812683105469,74.47000122070312,76.58999633789062,73.91000366210938,76.45999908447266,1840500,SWK
2023-04-06,72.23311614990234,74.29000091552734,74.55000305175781,73.2699966430664,74.47000122070312,1404000,SWK
2023-04-10,75.32506561279297,77.47000122070312,77.4800033569336,73.87999725341797,74.0,1703800,SWK
2023-04-11,76.52101135253906,78.69999694824219,79.20999908447266,77.94000244140625,78.04000091552734,1349700,SWK
2023-04-12,75.94734954833984,78.11000061035156,80.0,77.93000030517578,79.79000091552734,1587200,SWK
2023-04-13,77.08495330810547,79.27999877929688,79.62999725341797,77.6500015258789,78.36000061035156,1474400,SWK
2023-04-14,77.22107696533203,79.41999816894531,81.29000091552734,78.4000015258789,79.5,1360300,SWK
2023-04-17,77.44470977783203,79.6500015258789,80.0,78.73999786376953,79.26000213623047,922100,SWK
2023-04-18,78.6989974975586,80.94000244140625,81.37000274658203,79.86000061035156,80.12000274658203,1325900,SWK
2023-04-19,78.07671356201172,80.30000305175781,80.41000366210938,79.41000366210938,80.0,1076600,SWK
2023-04-20,77.61972045898438,79.83000183105469,80.44999694824219,78.66000366210938,79.63999938964844,1237200,SWK
2023-04-21,77.78501892089844,80.0,80.43000030517578,79.05999755859375,80.30999755859375,1059100,SWK
2023-04-24,77.63917541503906,79.8499984741211,80.7699966430664,79.05999755859375,80.58000183105469,793600,SWK
2023-04-25,75.50981140136719,77.66000366210938,79.73999786376953,77.61000061035156,79.25,929900,SWK
2023-04-26,75.12088775634766,77.26000213623047,78.94999694824219,76.87999725341797,77.47000122070312,1080600,SWK
2023-04-27,80.06995391845703,82.3499984741211,82.36000061035156,78.44999694824219,78.55999755859375,2220500,SWK
2023-04-28,83.94947814941406,86.33999633789062,86.56999969482422,82.44999694824219,82.69000244140625,3090800,SWK
2023-05-01,84.3772964477539,86.77999877929688,87.75,86.37999725341797,86.44000244140625,1840900,SWK
2023-05-02,83.12301635742188,85.48999786376953,86.80999755859375,84.44000244140625,86.75,1885300,SWK
2023-05-03,84.1439437866211,86.54000091552734,88.55000305175781,85.6500015258789,85.9800033569336,2005500,SWK
2023-05-04,83.79390716552734,86.18000030517578,88.87999725341797,84.62999725341797,88.25,2673500,SWK
